C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f
Q,25,1,17.00,1535.05,2179.27,2816.43,3373.89,3810.16,4098.40,4285.81,4461.14,4624.97,4624.97,4624.97
Q,26,1,17.50,1571.17,2244.96,2904.80,3423.81,3825.31,4105.71,4308.65,4500.51,4681.65,4681.65,4681.65
Q,27,1,18.00,1609.97,2316.97,3002.05,3476.00,3840.63,4113.06,4331.85,4540.94,4740.45,4740.45,4740.45
Q,28,1,18.50,1651.79,2396.38,3109.77,3530.66,3856.15,4120.45,4355.44,4582.48,4801.54,4801.54,4801.54
Q,29,1,19.00,1697.06,2484.57,3229.99,3587.99,3871.85,4127.88,4379.41,4625.18,4865.04,4865.04,4865.04
Q,30,1,19.50,1746.26,2583.26,3365.33,3648.19,3887.75,4135.35,4403.79,4669.09,4931.14,4931.14,4931.14
Q,31,1,20.00,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,32,1,20.65,1800.00,2694.74,3520.18,3721.31,3921.41,4160.89,4439.62,4717.40,4994.26,5000.00,5000.00
Q,33,1,21.30,1800.00,2694.74,3521.14,3731.17,3939.20,4179.16,4450.76,4720.52,4988.55,5000.00,5000.00
Q,34,1,21.95,1800.00,2694.74,3522.10,3741.10,3957.25,4197.67,4461.97,4723.65,4982.85,5000.00,5000.00
Q,35,1,22.60,1800.00,2694.74,3523.05,3751.11,3975.54,4216.43,4473.28,4726.78,4977.17,5000.00,5000.00
Q,36,1,23.25,1800.00,2694.74,3524.01,3761.20,3994.09,4235.45,4484.67,4729.92,4971.51,5000.00,5000.00
Q,37,1,23.90,1800.00,2694.74,3524.97,3771.38,4012.90,4254.72,4496.14,4733.07,4965.87,5000.00,5000.00
Q,38,1,24.55,1800.00,2694.74,3525.93,3781.63,4031.98,4274.26,4507.71,4736.22,4960.25,5000.00,5000.00
Q,39,1,25.20,1800.00,2694.74,3526.89,3791.97,4051.33,4294.08,4519.36,4739.38,4954.65,5000.00,5000.00
Q,40,1,25.85,1800.00,2694.74,3527.85,3802.40,4070.97,4314.17,4531.11,4742.54,4949.07,5000.00,5000.00
Q,41,1,26.50,1800.00,2694.74,3528.81,3812.91,4090.89,4334.54,4542.95,4745.71,4943.51,5000.00,5000.00
Q,42,1,27.15,1800.00,2694.74,3529.77,3823.51,4111.11,4355.21,4554.88,4748.89,4937.96,5000.00,5000.00
Q,43,1,27.80,1800.00,2694.74,3530.73,3834.20,4131.64,4376.17,4566.90,4752.07,4932.44,5000.00,5000.00
Q,44,1,28.45,1800.00,2694.74,3531.69,3844.98,4152.47,4397.44,4579.02,4755.26,4926.93,5000.00,5000.00
Q,45,1,29.10,1800.00,2694.74,3532.66,3855.85,4173.62,4419.02,4591.24,4758.46,4921.44,5000.00,5000.00
Q,46,1,29.75,1800.00,2694.74,3533.62,3866.82,4195.10,4440.93,4603.56,4761.66,4915.97,5000.00,5000.00
Q,47,1,30.40,1800.00,2694.74,3534.59,3877.88,4216.91,4463.16,4615.98,4764.87,4910.52,5000.00,5000.00
Q,48,1,31.05,1800.00,2694.74,3535.56,3889.03,4239.07,4485.73,4628.49,4768.09,4905.08,5000.00,5000.00
Q,49,1,31.70,1800.00,2694.74,3536.52,3900.28,4261.58,4508.65,4641.11,4771.31,4899.67,5000.00,5000.00
Q,50,1,32.35,1800.00,2694.74,3537.49,3911.63,4284.45,4531.92,4653.84,4774.54,4894.27,5000.00,5000.00
Q,51,1,33.00,1800.00,2694.74,3538.46,3923.08,4307.69,4555.56,4666.67,4777.78,4888.89,5000.00,5000.00
Q,52,1,32.72,1807.48,2696.75,3534.90,3933.92,4328.42,4579.87,4689.88,4799.78,4909.56,5019.21,5019.21
Q,53,1,32.45,1815.06,2698.77,3531.35,3944.84,4349.46,4604.57,4713.45,4822.09,4930.49,5038.64,5038.64
Q,54,1,32.18,1822.74,2700.79,3527.81,3955.86,4370.80,4629.68,4737.38,4844.72,4951.69,5058.30,5058.30
Q,55,1,31.90,1830.51,2702.82,3524.28,3966.98,4392.46,4655.20,4761.67,4867.66,4973.17,5078.19,5078.19
Q,56,1,31.62,1838.38,2704.85,3520.76,3978.18,4414.45,4681.15,4786.34,4890.94,4994.93,5098.31,5098.31
Q,57,1,31.35,1846.36,2706.88,3517.25,3989.49,4436.77,4707.54,4811.40,4914.55,5016.98,5118.68,5118.68
Q,58,1,31.07,1854.44,2708.92,3513.75,4000.89,4459.43,4734.38,4836.86,4938.51,5039.32,5139.29,5139.29
Q,59,1,30.80,1862.63,2710.97,3510.26,4012.39,4482.44,4761.69,4862.73,4962.82,5061.97,5160.16,5160.16
Q,60,1,30.52,1870.92,2713.02,3506.78,4023.98,4505.82,4789.47,4889.01,4987.50,5084.92,5181.28,5181.28
Q,61,1,30.25,1879.33,2715.07,3503.32,4035.68,4529.56,4817.74,4915.73,5012.54,5108.19,5202.66,5202.66
Q,62,1,29.98,1887.86,2717.13,3499.86,4047.48,4553.68,4846.53,4942.89,5037.97,5131.78,5224.31,5224.31
Q,63,1,29.70,1896.50,2719.19,3496.41,4059.39,4578.19,4875.83,4970.50,5063.79,5155.70,5246.23,5246.23
Q,64,1,29.43,1905.26,2721.26,3492.97,4071.40,4603.10,4905.67,4998.58,5090.01,5179.96,5268.43,5268.43
Q,65,1,29.15,1914.14,2723.33,3489.55,4083.52,4628.43,4936.07,5027.15,5116.64,5204.56,5290.91,5290.91
Q,66,1,28.88,1923.15,2725.41,3486.13,4095.75,4654.17,4967.04,5056.21,5143.69,5229.52,5313.69,5313.69
Q,67,1,28.60,1932.28,2727.49,3482.72,4108.08,4680.35,4998.60,5085.77,5171.18,5254.84,5336.76,5336.76
Q,68,1,28.32,1941.55,2729.58,3479.33,4120.53,4706.98,5030.76,5115.87,5199.11,5280.53,5360.13,5360.13
Q,69,1,28.05,1950.95,2731.67,3475.94,4133.10,4734.06,5063.56,5146.50,5227.50,5306.60,5383.82,5383.82
Q,70,1,27.77,1960.49,2733.77,3472.56,4145.78,4761.62,5097.01,5177.69,5256.37,5333.06,5407.82,5407.82
Q,71,1,27.50,1970.17,2735.87,3469.20,4158.58,4789.67,5131.13,5209.46,5285.71,5359.92,5432.14,5432.14
Q,72,1,27.23,1980.00,2737.98,3465.84,4171.49,4818.21,5165.94,5241.82,5315.55,5387.19,5456.80,5456.80
Q,73,1,26.95,1989.97,2740.09,3462.49,4184.53,4847.28,5201.47,5274.78,5345.90,5414.89,5481.80,5481.80
Q,74,1,26.67,2000.10,2742.20,3459.15,4197.69,4876.87,5237.75,5308.38,5376.78,5443.01,5507.14,5507.14
Q,75,1,26.40,2010.39,2744.33,3455.83,4210.97,4907.02,5274.79,5342.63,5408.20,5471.58,5532.83,5532.83
Q,76,1,26.12,2020.83,2746.45,3452.51,4224.39,4937.73,5312.64,5377.55,5440.18,5500.60,5558.89,5558.89
Q,77,1,25.85,2031.44,2748.58,3449.20,4237.93,4969.02,5351.30,5413.16,5472.73,5530.08,5585.32,5585.32
Q,78,1,25.58,2042.21,2750.72,3445.90,4251.60,5000.92,5390.83,5449.49,5505.87,5560.05,5612.14,5612.14
Q,79,1,25.30,2053.16,2752.86,3442.61,4265.41,5033.44,5431.24,5486.56,5539.62,5590.51,5639.34,5639.34
Q,80,1,25.02,2064.29,2755.01,3439.33,4279.35,5066.60,5472.58,5524.40,5574.00,5621.48,5666.94,5666.94
Q,81,1,24.75,2075.60,2757.16,3436.06,4293.43,5100.43,5514.88,5563.04,5609.03,5652.96,5694.95,5694.95
Q,82,1,24.48,2087.10,2759.31,3432.79,4307.64,5134.94,5558.17,5602.49,5644.72,5684.98,5723.38,5723.38
Q,83,1,24.20,2098.80,2761.47,3429.54,4322.00,5170.17,5602.50,5642.80,5681.11,5717.55,5752.24,5752.24
Q,84,1,23.92,2110.69,2763.64,3426.30,4336.51,5206.13,5647.90,5683.99,5718.21,5750.69,5781.54,5781.54
Q,85,1,23.65,2122.78,2765.81,3423.06,4351.16,5242.85,5694.43,5726.09,5756.05,5784.41,5811.29,5811.29
Q,86,1,23.38,2135.09,2767.99,3419.84,4365.96,5280.35,5742.13,5769.14,5794.64,5818.73,5841.51,5841.51
Q,87,1,23.10,2147.61,2770.17,3416.62,4380.92,5318.68,5791.04,5813.18,5834.03,5853.67,5872.20,5872.20
Q,88,1,22.83,2160.36,2772.36,3413.41,4396.03,5357.85,5841.23,5858.25,5874.23,5889.25,5903.38,5903.38
Q,89,1,22.55,2173.33,2774.55,3410.22,4411.29,5397.90,5892.74,5904.38,5915.27,5925.48,5935.07,5935.07
Q,90,1,22.27,2186.54,2776.75,3407.03,4426.72,5438.86,5945.65,5951.61,5957.18,5962.39,5967.27,5967.27
Q,91,1,22.00,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
