C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%.20g,%.20g,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f
Q,8,141,8,1,175.00,0.00,339536.26,5539623.93,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,9,161,9,1,200.00,0.00,339548.75,5539602.28,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,10,181,10,1,225.00,0.00,339561.24,5539580.62,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,11,201,11,1,250.00,0.00,339573.74,5539558.97,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,12,221,12,1,275.00,0.00,339586.23,5539537.31,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,13,241,13,1,300.00,0.00,339598.72,5539515.66,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,14,261,14,1,325.00,0.00,339611.22,5539494.00,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,15,281,15,  100,350.00,0.00,339623.71, 10000000.00, 150.00, 230.00, -200.00, -400.00, -550000.00, 10.00, 20.00, 220.00, 11000.00, 440.00, 2200.00, 660.00, 3300.00, 880.00, 4400.00, 900.00, 4800.00
Q,16,301,16,1,375.00,0.00,339636.20,5539450.69,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,17,321,17,1,400.00,0.00,339648.70,5539429.04,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,18,341,18,1,425.00,0.00,339661.19,5539407.38,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,19,361,19,1,450.00,0.00,339673.68,5539385.73,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,20,381,20,1,475.00,0.00,339686.17,5539364.08,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,21,401,21,1,500.00,0.00,339698.67,5539342.42,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,22,421,22,1,525.00,0.00,339711.16,5539320.77,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,23,441,23,1,550.00,0.00,339723.65,5539299.11,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,24,461,24,1,575.00,0.00,339736.15,5539277.46,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,25,481,25,1,600.00,0.00,339748.64,5539255.80,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,26,501,26,1,625.00,0.00,339761.13,5539234.15,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,27,521,27,1,650.00,0.00,339773.63,5539212.49,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,28,541,28,1,675.00,0.00,339786.12,5539190.84,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,29,561,29,1,700.00,0.00,339798.61,5539169.18,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,30,581,30,1,725.00,0.00,339811.11,5539147.53,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,31,2,1,2,0.00,50.00,339492.12,5539800.50,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,32,22,2,2,25.00,50.00,339504.61,5539778.84,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,33,42,3,2,50.00,50.00,339517.10,5539757.19,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,34,62,4,2,75.00,50.00,339529.59,5539735.54,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,35,82,5,2,100.00,50.00,339542.09,5539713.88,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,36,102,6,2,125.00,50.00,339554.58,5539692.23,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,37,122,7,2,150.00,50.00,339567.07,5539670.57,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,38,142,8,2,175.00,50.00,339579.57,5539648.92,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,39,162,9,2,200.00,50.00,339592.06,5539627.26,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,40,182,10,2,225.00,50.00,339604.55,5539605.61,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,41,202,11,2,250.00,50.00,339617.05,5539583.95,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,42,222,12,2,275.00,50.00,339629.54,5539562.30,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,43,242,13,2,300.00,50.00,339642.03,5539540.64,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,44,262,14,2,325.00,50.00,339654.53,5539518.99,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,45,282,15,2,350.00,50.00,339667.02,5539497.33,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,46,302,16,2,375.00,50.00,339679.51,5539475.68,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,47,322,17,2,400.00,50.00,339692.00,5539454.03,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,48,342,18,2,425.00,50.00,339704.50,5539432.37,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,49,362,19,2,450.00,50.00,339716.99,5539410.72,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,50,382,20,2,475.00,50.00,339729.48,5539389.06,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,51,402,21,2,500.00,50.00,339741.98,5539367.41,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,52,422,22,2,525.00,50.00,339754.47,5539345.75,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,53,442,23,2,550.00,50.00,339766.96,5539324.10,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,54,462,24,2,575.00,50.00,339779.46,5539302.44,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,55,482,25,2,600.00,50.00,339791.95,5539280.79,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,56,502,26,2,625.00,50.00,339804.44,5539259.13,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,57,522,27,2,650.00,50.00,339816.94,5539237.48,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,58,542,28,2,675.00,50.00,339829.43,5539215.82,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,59,562,29,2,700.00,50.00,339841.92,5539194.17,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,60,582,30,2,725.00,50.00,339854.41,5539172.52,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,61,3,1,3,0.00,100.00,339535.42,5539825.49,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,62,23,2,3,25.00,100.00,339547.92,5539803.83,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,63,43,3,3,50.00,100.00,339560.41,5539782.18,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,64,63,4,3,75.00,100.00,339572.90,5539760.52,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,65,83,5,3,100.00,100.00,339585.40,5539738.87,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,66,103,6,3,125.00,100.00,339597.89,5539717.21,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,67,123,7,3,150.00,100.00,339610.38,5539695.56,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,68,143,8,3,175.00,100.00,339622.88,5539673.90,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,69,163,9,3,200.00,100.00,339635.37,5539652.25,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,70,183,10,3,225.00,100.00,339647.86,5539630.59,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,71,203,11,3,250.00,100.00,339660.36,5539608.94,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,72,223,12,3,275.00,100.00,339672.85,5539587.28,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,73,243,13,3,300.00,100.00,339685.34,5539565.63,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,74,263,14,3,325.00,100.00,339697.83,5539543.98,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,75,283,15,3,350.00,100.00,339710.33,5539522.32,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,76,303,16,3,375.00,100.00,339722.82,5539500.67,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,77,323,17,3,400.00,100.00,339735.31,5539479.01,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,78,343,18,3,425.00,100.00,339747.81,5539457.36,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,79,363,19,3,450.00,100.00,339760.30,5539435.70,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,80,383,20,3,475.00,100.00,339772.79,5539414.05,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,81,403,21,3,500.00,100.00,339785.29,5539392.39,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,82,423,22,3,525.00,100.00,339797.78,5539370.74,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,83,443,23,3,550.00,100.00,339810.27,5539349.08,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,84,463,24,3,575.00,100.00,339822.77,5539327.43,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,85,483,25,3,600.00,100.00,339835.26,5539305.77,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,86,503,26,3,625.00,100.00,339847.75,5539284.12,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,87,523,27,3,650.00,100.00,339860.24,5539262.47,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,88,543,28,3,675.00,100.00,339872.74,5539240.81,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,89,563,29,3,700.00,100.00,339885.23,5539219.16,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,90,583,30,3,725.00,100.00,339897.72,5539197.50,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,91,4,1,4,0.00,150.00,339578.73,5539850.47,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,92,24,2,4,25.00,150.00,339591.23,5539828.82,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,93,44,3,4,50.00,150.00,339603.72,5539807.16,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,94,64,4,4,75.00,150.00,339616.21,5539785.51,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,95,84,5,4,100.00,150.00,339628.71,5539763.85,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,96,104,6,4,125.00,150.00,339641.20,5539742.20,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,97,124,7,4,150.00,150.00,339653.69,5539720.54,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,98,144,8,4,175.00,150.00,339666.19,5539698.89,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,99,164,9,4,200.00,150.00,339678.68,5539677.23,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,100,184,10,4,225.00,150.00,339691.17,5539655.58,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,101,204,11,4,250.00,150.00,339703.66,5539633.93,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,102,224,12,4,275.00,150.00,339716.16,5539612.27,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,103,244,13,4,300.00,150.00,339728.65,5539590.62,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,104,264,14,4,325.00,150.00,339741.14,5539568.96,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,105,284,15,4,350.00,150.00,339753.64,5539547.31,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,106,304,16,4,375.00,150.00,339766.13,5539525.65,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,107,324,17,4,400.00,150.00,339778.62,5539504.00,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,108,344,18,4,425.00,150.00,339791.12,5539482.34,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,109,364,19,4,450.00,150.00,339803.61,5539460.69,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,110,384,20,4,475.00,150.00,339816.10,5539439.03,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,111,404,21,4,500.00,150.00,339828.60,5539417.38,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,112,424,22,4,525.00,150.00,339841.09,5539395.72,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,113,444,23,4,550.00,150.00,339853.58,5539374.07,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,114,464,24,4,575.00,150.00,339866.07,5539352.42,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,115,484,25,4,600.00,150.00,339878.57,5539330.76,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,116,504,26,4,625.00,150.00,339891.06,5539309.11,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,117,524,27,4,650.00,150.00,339903.55,5539287.45,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,118,544,28,4,675.00,150.00,339916.05,5539265.80,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,119,564,29,4,700.00,150.00,339928.54,5539244.14,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,120,584,30,4,725.00,150.00,339941.03,5539222.49,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,121,5,1,5,0.00,200.00,339622.04,5539875.46,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,122,25,2,5,25.00,200.00,339634.54,5539853.80,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,123,45,3,5,50.00,200.00,339647.03,5539832.15,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,124,65,4,5,75.00,200.00,339659.52,5539810.49,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,125,85,5,5,100.00,200.00,339672.02,5539788.84,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,126,105,6,5,125.00,200.00,339684.51,5539767.18,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,127,125,7,5,150.00,200.00,339697.00,5539745.53,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
