C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%.20g,%.20g,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f
Q,11,231,11,1,250.00,0.00,338924.93,5540483.45,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,12,254,12,1,275.00,0.00,338937.42,5540461.80,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,13,277,13,1,300.00,0.00,338949.92,5540440.14,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,14,300,14,1,325.00,0.00,338962.41,5540418.49,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,15,323,15,1,350.00,0.00,338974.90,5540396.84,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,16,346,16,1,375.00,0.00,338987.40,5540375.18,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,17,369,17,1,400.00,0.00,338999.89,5540353.53,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,18,392,18,1,425.00,0.00,339012.38,5540331.87,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,19,415,19,1,450.00,0.00,339024.88,5540310.22,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,20,438,20,1,475.00,0.00,339037.37,5540288.56,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,21,461,21,1,500.00,0.00,339049.86,5540266.91,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,22,484,22,1,525.00,0.00,339062.35,5540245.25,2.20,1217.02,1647.55,2111.61,2875.93,3628.32,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,23,507,23,1,550.00,0.00,339074.85,5540223.60,2.30,1234.79,1675.39,2148.10,2906.65,3641.39,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,24,530,24,1,575.00,0.00,339087.34,5540201.94,2.40,1253.36,1704.69,2186.54,2938.39,3654.61,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,25,553,25,1,600.00,0.00,339099.83,5540180.29,2.50,1272.79,1735.58,2227.13,2971.18,3667.97,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,26,576,26,1,625.00,0.00,339112.33,5540158.63,2.60,1293.16,1768.22,2270.07,3005.10,3681.47,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,27,599,27,1,650.00,0.00,339124.82,5540136.98,2.70,1314.53,1802.77,2315.58,3040.21,3695.13,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,28,622,28,1,675.00,0.00,339137.31,5540115.32,2.80,1337.01,1839.43,2363.95,3076.58,3708.94,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,29,645,29,1,700.00,0.00,339149.81,5540093.67,2.90,1360.67,1878.42,2415.49,3114.29,3722.91,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,30,668,30,1,725.00,0.00,339162.30,5540072.02,3.00,1385.64,1919.99,2470.55,3153.41,3737.03,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,31,691,31,1,750.00,0.00,339174.79,5540050.36,3.10,1412.04,1964.46,2529.55,3194.05,3751.32,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,32,714,32,1,775.00,0.00,339187.28,5540028.71,3.20,1440.00,2012.17,2592.99,3236.31,3765.78,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,33,737,33,1,800.00,0.00,339199.78,5540007.05,3.30,1469.69,2063.53,2661.46,3280.28,3780.40,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,34,760,34,1,825.00,0.00,339212.27,5539985.40,3.40,1501.30,2119.03,2735.66,3326.10,3795.19,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,35,783,35,1,850.00,0.00,339224.76,5539963.74,3.50,1535.05,2179.27,2816.43,3373.89,3810.16,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,36,806,36,1,875.00,0.00,339237.26,5539942.09,3.60,1571.17,2244.96,2904.80,3423.81,3825.31,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,37,829,37,1,900.00,0.00,339249.75,5539920.43,3.70,1609.97,2316.97,3002.05,3476.00,3840.63,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,38,852,38,1,925.00,0.00,339262.24,5539898.78,3.80,1651.79,2396.38,3109.77,3530.66,3856.15,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,39,875,39,1,950.00,0.00,339274.74,5539877.12,3.90,1697.06,2484.57,3229.99,3587.99,3871.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,40,898,40,1,975.00,0.00,339287.23,5539855.47,4.00,1746.26,2583.26,3365.33,3648.19,3887.75,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,41,921,41,1,1000.00,0.00,339299.72,5539833.81,4.10,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,42,944,42,1,1025.00,0.00,339312.22,5539812.16,4.20,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,43,967,43,1,1050.00,0.00,339324.71,5539790.51,4.30,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,44,990,44,1,1075.00,0.00,339337.20,5539768.85,4.40,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,45,1013,45,1,1100.00,0.00,339349.69,5539747.20,4.50,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,46,1036,46,1,1125.00,0.00,339362.19,5539725.54,4.60,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,47,1059,47,1,1150.00,0.00,339374.68,5539703.89,4.70,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,48,1082,48,1,1175.00,0.00,339387.17,5539682.23,4.80,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,49,1105,49,1,1200.00,0.00,339399.67,5539660.58,4.90,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,50,1128,50,1,1225.00,0.00,339412.16,5539638.92,5.00,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,51,1151,51,1,1250.00,0.00,339424.65,5539617.27,5.10,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,52,1174,52,1,1275.00,0.00,339437.15,5539595.61,5.20,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,53,1197,53,1,1300.00,0.00,339449.64,5539573.96,5.30,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,54,1220,54,1,1325.00,0.00,339462.13,5539552.30,5.40,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,55,1243,55,1,1350.00,0.00,339474.63,5539530.65,5.50,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,56,1266,56,1,1375.00,0.00,339487.12,5539508.99,5.60,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,57,1289,57,1,1400.00,0.00,339499.61,5539487.34,5.70,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,58,1312,58,1,1425.00,0.00,339512.10,5539465.69,5.80,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,59,1335,59,1,1450.00,0.00,339524.60,5539444.03,5.90,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,60,1358,60,1,1475.00,0.00,339537.09,5539422.38,6.00,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,61,1381,61,1,1500.00,0.00,339549.58,5539400.72,6.10,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,62,1404,62,1,1525.00,0.00,339562.08,5539379.07,6.20,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,63,1427,63,1,1550.00,0.00,339574.57,5539357.41,6.30,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,64,1450,64,1,1575.00,0.00,339587.06,5539335.76,6.40,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,65,1473,65,1,1600.00,0.00,339599.56,5539314.10,6.50,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,66,1496,66,1,1625.00,0.00,339612.05,5539292.45,6.60,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,67,1519,67,1,1650.00,0.00,339624.54,5539270.79,6.70,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,68,1542,68,1,1675.00,0.00,339637.04,5539249.14,6.80,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,69,1565,69,1,1700.00,0.00,339649.53,5539227.48,6.90,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,70,1588,70,1,1725.00,0.00,339662.02,5539205.83,7.00,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,71,1611,71,1,1750.00,0.00,339674.51,5539184.18,7.10,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,72,1634,72,1,1775.00,0.00,339687.01,5539162.52,7.20,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,73,1657,73,1,1800.00,0.00,339699.50,5539140.87,7.30,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,74,1680,74,1,1825.00,0.00,339711.99,5539119.21,7.40,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,75,1703,75,1,1850.00,0.00,339724.49,5539097.56,7.50,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,76,1726,76,1,1875.00,0.00,339736.98,5539075.90,7.60,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,77,1749,77,1,1900.00,0.00,339749.47,5539054.25,7.70,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,78,1772,78,1,1925.00,0.00,339761.97,5539032.59,7.80,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,79,1795,79,1,1950.00,0.00,339774.46,5539010.94,7.90,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,80,1818,80,1,1975.00,0.00,339786.95,5538989.28,8.00,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,81,1841,81,1,2000.00,0.00,339799.44,5538967.63,8.10,1800.00,2694.74,3519.23,3711.54,3903.85,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,82,1864,82,1,2025.00,0.00,339811.94,5538945.97,8.20,1815.06,2698.77,3513.18,3739.88,3952.83,4198.14,4479.85,4760.04,5038.64,5038.64,5038.64
Q,83,1887,83,1,2050.00,0.00,339824.43,5538924.32,8.30,1830.51,2702.82,3507.16,3768.87,4003.71,4255.69,4532.95,4807.16,5078.19,5078.19,5078.19
Q,84,1910,84,1,2075.00,0.00,339836.92,5538902.66,8.40,1846.36,2706.88,3501.17,3798.56,4056.61,4315.68,4587.98,4855.70,5118.68,5118.68,5118.68
Q,85,1933,85,1,2100.00,0.00,339849.42,5538881.01,8.50,1862.63,2710.97,3495.22,3828.95,4111.66,4378.28,4645.07,4905.74,5160.16,5160.16,5160.16
Q,86,1956,86,1,2125.00,0.00,339861.91,5538859.36,8.60,1879.33,2715.07,3489.29,3860.09,4169.02,4443.68,4704.34,4957.36,5202.66,5202.66,5202.66
Q,87,1979,87,1,2150.00,0.00,339874.40,5538837.70,8.70,1896.50,2719.19,3483.39,3892.00,4228.84,4512.10,4765.94,5010.65,5246.23,5246.23,5246.23
Q,88,2002,88,1,2175.00,0.00,339886.90,5538816.05,8.80,1914.14,2723.33,3477.52,3924.71,4291.31,4583.79,4830.03,5065.70,5290.91,5290.91,5290.91
Q,89,2025,89,1,2200.00,0.00,339899.39,5538794.39,8.90,1932.28,2727.49,3471.68,3958.26,4356.64,4659.01,4896.77,5122.59,5336.76,5336.76,5336.76
Q,90,2048,90,1,2225.00,0.00,339911.88,5538772.74,9.00,1950.95,2731.67,3465.88,3992.69,4425.05,4738.05,4966.36,5181.45,5383.82,5383.82,5383.82
Q,91,2071,91,1,2250.00,0.00,339924.38,5538751.08,9.10,1970.17,2735.87,3460.10,4028.03,4496.78,4821.26,5039.00,5242.39,5432.14,5432.14,5432.14
Q,92,2094,92,1,2275.00,0.00,339936.87,5538729.43,9.20,1989.97,2740.09,3454.35,4064.33,4572.12,4909.01,5114.93,5305.53,5481.80,5481.80,5481.80
Q,93,2117,93,1,2300.00,0.00,339949.36,5538707.77,9.30,2010.39,2744.33,3448.62,4101.63,4651.37,5001.73,5194.40,5371.00,5532.83,5532.83,5532.83
Q,94,2140,94,1,2325.00,0.00,339961.85,5538686.12,9.40,2031.44,2748.58,3442.93,4139.97,4734.90,5099.92,5277.68,5438.97,5585.32,5585.32,5585.32
Q,95,2163,95,1,2350.00,0.00,339974.35,5538664.46,9.50,2053.16,2752.86,3437.26,4179.41,4823.09,5204.13,5365.11,5509.57,5639.34,5639.34,5639.34
Q,96,2186,96,1,2375.00,0.00,339986.84,5538642.81,9.60,2075.60,2757.16,3431.63,4219.99,4916.40,5314.99,5457.03,5583.01,5694.95,5694.95,5694.95
Q,97,2209,97,1,2400.00,0.00,339999.33,5538621.15,9.70,2098.80,2761.47,3426.02,4261.79,5015.35,5433.26,5553.85,5659.45,5752.24,5752.24,5752.24
Q,98,2232,98,1,2425.00,0.00,340011.83,5538599.50,9.80,2122.78,2765.81,3420.43,4304.85,5120.52,5559.79,5656.00,5739.13,5811.29,5811.29,5811.29
Q,99,2255,99,1,2450.00,0.00,340024.32,5538577.85,9.90,2147.61,2770.17,3414.88,4349.24,5232.60,5695.59,5764.01,5822.27,5872.20,5872.20,5872.20
Q,100,2278,100,1,2475.00,0.00,340036.81,5538556.19,10.00,2173.33,2774.55,3409.35,4395.04,5352.37,5841.85,5878.46,5909.13,5935.07,5935.07,5935.07
Q,101,2301,101,1,2500.00,0.00,340049.31,5538534.54,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,102,2324,102,1,2525.00,0.00,340061.80,5538512.88,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,103,2347,103,1,2550.00,0.00,340074.29,5538491.23,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,104,2370,104,1,2575.00,0.00,340086.79,5538469.57,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,105,2393,105,1,2600.00,0.00,340099.28,5538447.92,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,106,2416,106,1,2625.00,0.00,340111.77,5538426.26,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,107,2439,107,1,2650.00,0.00,340124.26,5538404.61,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,108,2462,108,1,2675.00,0.00,340136.76,5538382.95,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,109,2485,109,1,2700.00,0.00,340149.25,5538361.30,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,110,2508,110,1,2725.00,0.00,340161.74,5538339.64,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,111,2531,111,1,2750.00,0.00,340174.24,5538317.99,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,112,2554,112,1,2775.00,0.00,340186.73,5538296.33,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,113,2577,113,1,2800.00,0.00,340199.22,5538274.68,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,114,2600,114,1,2825.00,0.00,340211.72,5538253.03,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,115,2623,115,1,2850.00,0.00,340224.21,5538231.37,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,116,2646,116,1,2875.00,0.00,340236.70,5538209.72,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,117,2669,117,1,2900.00,0.00,340249.20,5538188.06,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,118,2692,118,1,2925.00,0.00,340261.69,5538166.41,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,119,2715,119,1,2950.00,0.00,340274.18,5538144.75,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,120,2738,120,1,2975.00,0.00,340286.67,5538123.10,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,121,2761,121,1,3000.00,0.00,340299.17,5538101.44,10.10,2200.00,2778.95,3403.85,4442.31,5480.77,6000.00,6000.00,6000.00,6000.00,6000.00,6000.00
Q,122,2,1,2,0.00,50.00,338843.31,5540724.99,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,123,25,2,2,25.00,50.00,338855.80,5540703.33,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,124,48,3,2,50.00,50.00,338868.30,5540681.68,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,125,71,4,2,75.00,50.00,338880.79,5540660.02,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,126,94,5,2,100.00,50.00,338893.28,5540638.37,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,127,117,6,2,125.00,50.00,338905.77,5540616.71,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,128,140,7,2,150.00,50.00,338918.27,5540595.06,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,129,163,8,2,175.00,50.00,338930.76,5540573.40,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,130,186,9,2,200.00,50.00,338943.25,5540551.75,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,131,209,10,2,225.00,50.00,338955.75,5540530.09,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,132,232,11,2,250.00,50.00,338968.24,5540508.44,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,133,255,12,2,275.00,50.00,338980.73,5540486.79,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,134,278,13,2,300.00,50.00,338993.23,5540465.13,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,135,301,14,2,325.00,50.00,339005.72,5540443.48,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,136,324,15,2,350.00,50.00,339018.21,5540421.82,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,137,347,16,2,375.00,50.00,339030.71,5540400.17,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,138,370,17,2,400.00,50.00,339043.20,5540378.51,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,139,393,18,2,425.00,50.00,339055.69,5540356.86,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,140,416,19,2,450.00,50.00,339068.18,5540335.20,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,141,439,20,2,475.00,50.00,339080.68,5540313.55,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,142,462,21,2,500.00,50.00,339093.17,5540291.89,14.20,1236.75,1667.54,2132.67,2907.18,3677.42,4204.82,4491.61,4778.30,5064.90,5064.90,5064.90
Q,143,485,22,2,525.00,50.00,339105.66,5540270.24,14.30,1253.40,1693.62,2166.82,2935.59,3688.14,4201.76,4487.97,4774.04,5060.00,5060.84,5061.59
Q,144,508,23,2,550.00,50.00,339118.16,5540248.58,14.40,1270.74,1720.97,2202.66,2964.85,3698.96,4198.71,4484.34,4769.80,5055.11,5056.78,5058.30
Q,145,531,24,2,575.00,50.00,339130.65,5540226.93,14.50,1288.83,1749.69,2240.34,2995.00,3709.88,4195.66,4480.71,4765.56,5050.23,5052.74,5055.00
Q,146,554,25,2,600.00,50.00,339143.14,5540205.27,14.60,1307.71,1779.89,2280.02,3026.09,3720.89,4192.62,4477.09,4761.34,5045.37,5048.71,5051.72
Q,147,577,26,2,625.00,50.00,339155.64,5540183.62,14.70,1327.44,1811.71,2321.90,3058.17,3732.00,4189.58,4473.49,4757.13,5040.52,5044.68,5048.44
Q,148,600,27,2,650.00,50.00,339168.13,5540161.97,14.80,1348.10,1845.31,2366.16,3091.29,3743.21,4186.55,4469.89,4752.92,5035.69,5040.67,5045.16
Q,149,623,28,2,675.00,50.00,339180.62,5540140.31,14.90,1369.75,1880.84,2413.06,3125.50,3754.53,4183.53,4466.30,4748.73,5030.87,5036.66,5041.90
Q,150,646,29,2,700.00,50.00,339193.11,5540118.66,15.00,1392.48,1918.51,2462.86,3160.89,3765.94,4180.51,4462.71,4744.55,5026.07,5032.67,5038.64
