
C_SU_MATCH,fldr,tracf
C_SU_SETID,X
C_SU_FORMS
C_SU_ID,%.0f,%.0f,%.0f,%.0f,%.2f,%.2f,%.0f,%.0f,%.0f,%.0f,%.2f,%.2f,%.2f,%.0f
X,10001,55,1,0,100,239,1,1,30,1,100,209,238,1
X,10001,55,1,0,100,239,1,31,60,1,100,240,269,1
X,10001,56,1,0,100,241,1,1,30,1,100,211,240,1
X,10001,56,1,0,100,241,1,31,60,1,100,242,271,1
X,10001,57,1,0,100,243,1,1,30,1,100,213,242,1
X,10001,57,1,0,100,243,1,31,60,1,100,244,273,1
X,10001,58,1,0,100,245,1,1,30,1,100,215,244,1
X,10001,58,1,0,100,245,1,31,60,1,100,246,275,1
X,10001,59,1,0,100,247,1,1,30,1,100,217,246,1
X,10001,59,1,0,100,247,1,31,60,1,100,248,277,1
X,10001,60,1,0,100,249,1,1,30,1,100,219,248,1
X,10001,60,1,0,100,249,1,31,60,1,100,250,279,1
X,10001,61,1,0,100,251,1,1,30,1,100,221,250,1
X,10001,61,1,0,100,251,1,31,60,1,100,252,281,1
X,10001,62,1,0,100,253,1,1,30,1,100,223,252,1
X,10001,62,1,0,100,253,1,31,60,1,100,254,283,1
X,10001,63,1,0,100,255,1,1,30,1,100,225,254,1
X,10001,63,1,0,100,255,1,31,60,1,100,256,285,1
X,10001,64,1,0,100,257,1,1,30,1,100,227,256,1
X,10001,64,1,0,100,257,1,31,60,1,100,258,287,1
X,10001,65,1,0,100,259,1,1,30,1,100,229,258,1
X,10001,65,1,0,100,259,1,31,60,1,100,260,289,1
X,10001,66,1,0,100,261,1,1,30,1,100,231,260,1
X,10001,66,1,0,100,261,1,31,60,1,100,262,291,1
X,10001,67,1,0,100,263,1,1,30,1,100,233,262,1
X,10001,67,1,0,100,263,1,31,60,1,100,264,293,1
X,10001,68,1,0,100,265,1,1,30,1,100,235,264,1
X,10001,68,1,0,100,265,1,31,60,1,100,266,295,1
X,10001,69,1,0,100,267,1,1,30,1,100,237,266,1
X,10001,69,1,0,100,267,1,31,60,1,100,268,297,1
X,10001,70,1,0,100,269,1,1,30,1,100,239,268,1
X,10001,70,1,0,100,269,1,31,60,1,100,270,299,1
X,10001,71,1,0,100,271,1,1,30,1,100,241,270,1
X,10001,71,1,0,100,271,1,31,60,1,100,272,301,1
X,10001,72,1,0,100,273,1,1,30,1,100,243,272,1
X,10001,72,1,0,100,273,1,31,60,1,100,274,303,1
X,10001,73,1,0,100,275,1,1,30,1,100,245,274,1
X,10001,73,1,0,100,275,1,31,60,1,100,276,305,1
X,10001,74,1,0,100,277,1,1,30,1,100,247,276,1
X,10001,74,1,0,100,277,1,31,60,1,100,278,307,1
X,10001,75,1,0,100,279,1,1,30,1,100,249,278,1
X,10001,75,1,0,100,279,1,31,60,1,100,280,309,1
X,10001,76,1,0,100,281,1,1,30,1,100,251,280,1
X,10001,76,1,0,100,281,1,31,60,1,100,282,311,1
X,10001,77,1,0,100,283,1,1,30,1,100,253,282,1
X,10001,77,1,0,100,283,1,31,60,1,100,284,313,1
X,10001,78,1,0,100,285,1,1,30,1,100,255,284,1
X,10001,78,1,0,100,285,1,31,60,1,100,286,315,1
X,10001,79,1,0,100,287,1,1,30,1,100,257,286,1
X,10001,79,1,0,100,287,1,31,60,1,100,288,317,1
X,10001,80,1,0,100,289,1,1,30,1,100,259,288,1
X,10001,80,1,0,100,289,1,31,60,1,100,290,319,1
X,10001,81,1,0,100,291,1,1,30,1,100,261,290,1
X,10001,81,1,0,100,291,1,31,60,1,100,292,321,1
X,10001,82,1,0,100,293,1,1,30,1,100,263,292,1
X,10001,82,1,0,100,293,1,31,60,1,100,294,323,1
X,10001,83,1,0,100,295,1,1,30,1,100,265,294,1
X,10001,83,1,0,100,295,1,31,60,1,100,296,325,1
X,10001,84,1,0,100,297,1,1,30,1,100,267,296,1
X,10001,84,1,0,100,297,1,31,60,1,100,298,327,1
X,10001,85,1,0,100,299,1,1,30,1,100,269,298,1
X,10001,85,1,0,100,299,1,31,60,1,100,300,329,1
X,10001,86,1,0,100,301,1,1,30,1,100,271,300,1
X,10001,86,1,0,100,301,1,31,60,1,100,302,331,1
X,10001,87,1,0,100,303,1,1,30,1,100,273,302,1
X,10001,87,1,0,100,303,1,31,60,1,100,304,333,1
X,10001,88,1,0,100,305,1,1,30,1,100,275,304,1
X,10001,88,1,0,100,305,1,31,60,1,100,306,335,1
X,10001,89,1,0,100,307,1,1,30,1,100,277,306,1
X,10001,89,1,0,100,307,1,31,60,1,100,308,337,1
X,10001,90,1,0,100,309,1,1,30,1,100,279,308,1
X,10001,90,1,0,100,309,1,31,60,1,100,310,339,1
X,10001,91,1,0,100,311,1,1,30,1,100,281,310,1
X,10001,91,1,0,100,311,1,31,60,1,100,312,341,1
X,10001,92,1,0,100,313,1,1,30,1,100,283,312,1
X,10001,92,1,0,100,313,1,31,60,1,100,314,343,1
X,10001,93,1,0,100,315,1,1,30,1,100,285,314,1
X,10001,93,1,0,100,315,1,31,60,1,100,316,345,1
X,10001,94,1,0,100,317,1,1,30,1,100,287,316,1
X,10001,94,1,0,100,317,1,31,60,1,100,318,347,1
X,10001,95,1,0,100,319,1,1,30,1,100,289,318,1
X,10001,95,1,0,100,319,1,31,60,1,100,320,349,1
X,10001,96,1,0,100,321,1,1,30,1,100,291,320,1
X,10001,96,1,0,100,321,1,31,60,1,100,322,351,1
X,10001,97,1,0,100,323,1,1,30,1,100,293,322,1
X,10001,97,1,0,100,323,1,31,60,1,100,324,353,1
X,10001,98,1,0,100,325,1,1,30,1,100,295,324,1
X,10001,98,1,0,100,325,1,31,60,1,100,326,355,1
X,10001,99,1,0,100,327,1,1,30,1,100,297,326,1
X,10001,99,1,0,100,327,1,31,60,1,100,328,357,1
X,10001,100,1,0,100,329,1,1,30,1,100,299,328,1
X,10001,100,1,0,100,329,1,31,60,1,100,330,359,1
X,10001,101,1,0,100,331,1,1,30,1,100,301,330,1
X,10001,101,1,0,100,331,1,31,60,1,100,332,361,1
X,10001,102,1,0,100,333,1,1,30,1,100,303,332,1
X,10001,102,1,0,100,333,1,31,60,1,100,334,363,1
X,10001,103,1,0,100,335,1,1,30,1,100,305,334,1
X,10001,103,1,0,100,335,1,31,60,1,100,336,365,1
X,10001,104,1,0,100,337,1,1,30,1,100,307,336,1
X,10001,104,1,0,100,337,1,31,60,1,100,338,367,1
X,10001,105,1,0,100,339,1,1,30,1,100,309,338,1
X,10001,105,1,0,100,339,1,31,60,1,100,340,369,1
X,10001,106,1,0,100,341,1,1,30,1,100,311,340,1
X,10001,106,1,0,100,341,1,31,60,1,100,342,371,1
X,10001,107,1,0,100,343,1,1,30,1,100,313,342,1
X,10001,107,1,0,100,343,1,31,60,1,100,344,373,1
X,10001,108,1,0,100,345,1,1,30,1,100,315,344,1
X,10001,108,1,0,100,345,1,31,60,1,100,346,375,1
X,10001,109,1,0,100,347,1,1,30,1,100,317,346,1
X,10001,109,1,0,100,347,1,31,60,1,100,348,377,1
X,10001,110,1,0,100,349,1,1,30,1,100,319,348,1
X,10001,110,1,0,100,349,1,31,60,1,100,350,379,1
X,10001,111,1,0,100,351,1,1,30,1,100,321,350,1
X,10001,111,1,0,100,351,1,31,60,1,100,352,381,1
X,10001,112,1,0,100,353,1,1,30,1,100,323,352,1
X,10001,112,1,0,100,353,1,31,60,1,100,354,383,1
X,10001,113,1,0,100,355,1,1,30,1,100,325,354,1
X,10001,113,1,0,100,355,1,31,60,1,100,356,385,1
X,10001,114,1,0,100,357,1,1,30,1,100,327,356,1
X,10001,114,1,0,100,357,1,31,60,1,100,358,387,1
X,10001,115,1,0,100,359,1,1,30,1,100,329,358,1
X,10001,115,1,0,100,359,1,31,60,1,100,360,389,1
X,10001,116,1,0,100,361,1,1,30,1,100,331,360,1
X,10001,116,1,0,100,361,1,31,60,1,100,362,391,1
X,10001,117,1,0,100,363,1,1,30,1,100,333,362,1
X,10001,117,1,0,100,363,1,31,60,1,100,364,393,1
X,10001,118,1,0,100,365,1,1,30,1,100,335,364,1
X,10001,118,1,0,100,365,1,31,60,1,100,366,395,1
X,10001,119,1,0,100,367,1,1,30,1,100,337,366,1
X,10001,119,1,0,100,367,1,31,60,1,100,368,397,1
X,10001,120,1,0,100,369,1,1,30,1,100,339,368,1
X,10001,120,1,0,100,369,1,31,60,1,100,370,399,1
X,10001,121,1,0,100,371,1,1,30,1,100,341,370,1
X,10001,121,1,0,100,371,1,31,60,1,100,372,401,1
X,10001,122,1,0,100,373,1,1,30,1,100,343,372,1
X,10001,122,1,0,100,373,1,31,60,1,100,374,403,1
X,10001,123,1,0,100,375,1,1,30,1,100,345,374,1
X,10001,123,1,0,100,375,1,31,60,1,100,376,405,1
X,10001,124,1,0,100,377,1,1,30,1,100,347,376,1
X,10001,124,1,0,100,377,1,31,60,1,100,378,407,1
X,10001,125,1,0,100,379,1,1,30,1,100,349,378,1
X,10001,125,1,0,100,379,1,31,60,1,100,380,409,1
X,10001,126,1,0,100,381,1,1,30,1,100,351,380,1
X,10001,126,1,0,100,381,1,31,60,1,100,382,411,1
X,10001,127,1,0,100,383,1,1,30,1,100,353,382,1
X,10001,127,1,0,100,383,1,31,60,1,100,384,413,1
X,10001,128,1,0,100,385,1,1,30,1,100,355,384,1
X,10001,128,1,0,100,385,1,31,60,1,100,386,415,1
X,10001,129,1,0,100,387,1,1,30,1,100,357,386,1
X,10001,129,1,0,100,387,1,31,60,1,100,388,417,1
X,10001,130,1,0,100,389,1,1,30,1,100,359,388,1
X,10001,130,1,0,100,389,1,31,60,1,100,390,419,1
X,10001,131,1,0,100,391,1,1,30,1,100,361,390,1
X,10001,131,1,0,100,391,1,31,60,1,100,392,421,1
X,10001,132,1,0,100,393,1,1,30,1,100,363,392,1
X,10001,132,1,0,100,393,1,31,60,1,100,394,423,1
X,10001,133,1,0,100,395,1,1,30,1,100,365,394,1
X,10001,133,1,0,100,395,1,31,60,1,100,396,425,1
X,10001,134,1,0,100,397,1,1,30,1,100,367,396,1
X,10001,134,1,0,100,397,1,31,60,1,100,398,427,1
X,10001,135,1,0,100,399,1,1,30,1,100,369,398,1
X,10001,135,1,0,100,399,1,31,60,1,100,400,429,1
X,10001,136,1,0,100,401,1,1,30,1,100,371,400,1
X,10001,136,1,0,100,401,1,31,60,1,100,402,431,1
X,10001,137,1,0,100,403,1,1,30,1,100,373,402,1
X,10001,137,1,0,100,403,1,31,60,1,100,404,433,1
X,10001,138,1,0,100,405,1,1,30,1,100,375,404,1
X,10001,138,1,0,100,405,1,31,60,1,100,406,435,1
X,10001,139,1,0,100,407,1,1,30,1,100,377,406,1
X,10001,139,1,0,100,407,1,31,60,1,100,408,437,1
X,10001,140,1,0,100,409,1,1,30,1,100,379,408,1
X,10001,140,1,0,100,409,1,31,60,1,100,410,439,1
X,10001,141,1,0,100,411,1,1,30,1,100,381,410,1
X,10001,141,1,0,100,411,1,31,60,1,100,412,441,1
X,10001,142,1,0,100,413,1,1,30,1,100,383,412,1
X,10001,142,1,0,100,413,1,31,60,1,100,414,443,1
X,10001,143,1,0,100,415,1,1,30,1,100,385,414,1
X,10001,143,1,0,100,415,1,31,60,1,100,416,445,1
X,10001,144,1,0,100,417,1,1,30,1,100,387,416,1
X,10001,144,1,0,100,417,1,31,60,1,100,418,447,1
X,10001,145,1,0,100,419,1,1,30,1,100,389,418,1
X,10001,145,1,0,100,419,1,31,60,1,100,420,449,1
X,10001,146,1,0,100,421,1,1,30,1,100,391,420,1
X,10001,146,1,0,100,421,1,31,60,1,100,422,451,1
X,10001,147,1,0,100,423,1,1,30,1,100,393,422,1
X,10001,147,1,0,100,423,1,31,60,1,100,424,453,1
X,10001,148,1,0,100,425,1,1,30,1,100,395,424,1
X,10001,148,1,0,100,425,1,31,60,1,100,426,455,1
X,10001,149,1,0,100,427,1,1,30,1,100,397,426,1
X,10001,149,1,0,100,427,1,31,60,1,100,428,457,1
X,10001,150,1,0,100,429,1,1,30,1,100,399,428,1
X,10001,150,1,0,100,429,1,31,60,1,100,430,459,1
X,10001,151,1,0,100,431,1,1,30,1,100,401,430,1
X,10001,151,1,0,100,431,1,31,60,1,100,432,461,1
X,10001,152,1,0,100,433,1,1,30,1,100,403,432,1
X,10001,152,1,0,100,433,1,31,60,1,100,434,463,1
X,10001,153,1,0,100,435,1,1,30,1,100,405,434,1
X,10001,153,1,0,100,435,1,31,60,1,100,436,465,1
X,10001,154,1,0,100,437,1,1,30,1,100,407,436,1
X,10001,154,1,0,100,437,1,31,60,1,100,438,467,1
X,10001,155,1,0,100,439,1,1,30,1,100,409,438,1
X,10001,155,1,0,100,439,1,31,60,1,100,440,469,1
X,10001,156,1,0,100,441,1,1,30,1,100,411,440,1
X,10001,156,1,0,100,441,1,31,60,1,100,442,471,1
X,10001,157,1,0,100,443,1,1,30,1,100,413,442,1
X,10001,157,1,0,100,443,1,31,60,1,100,444,473,1
X,10001,158,1,0,100,445,1,1,30,1,100,415,444,1
X,10001,158,1,0,100,445,1,31,60,1,100,446,475,1
X,10001,159,1,0,100,447,1,1,30,1,100,417,446,1
X,10001,159,1,0,100,447,1,31,60,1,100,448,477,1
X,10001,160,1,0,100,449,1,1,30,1,100,419,448,1
X,10001,160,1,0,100,449,1,31,60,1,100,450,479,1
X,10001,161,1,0,100,451,1,1,30,1,100,421,450,1
X,10001,161,1,0,100,451,1,31,60,1,100,452,481,1
X,10001,162,1,0,100,453,1,1,30,1,100,423,452,1
X,10001,162,1,0,100,453,1,31,60,1,100,454,483,1
X,10001,163,1,0,100,455,1,1,30,1,100,425,454,1
X,10001,163,1,0,100,455,1,31,60,1,100,456,485,1
X,10001,164,1,0,100,457,1,1,30,1,100,427,456,1
X,10001,164,1,0,100,457,1,31,60,1,100,458,487,1
X,10001,165,1,0,100,459,1,1,30,1,100,429,458,1
X,10001,165,1,0,100,459,1,31,60,1,100,460,489,1
X,10001,166,1,0,100,461,1,1,30,1,100,431,460,1
X,10001,166,1,0,100,461,1,31,60,1,100,462,491,1
X,10001,167,1,0,100,463,1,1,30,1,100,433,462,1
X,10001,167,1,0,100,463,1,31,60,1,100,464,493,1
X,10001,168,1,0,100,465,1,1,30,1,100,435,464,1
X,10001,168,1,0,100,465,1,31,60,1,100,466,495,1
X,10001,169,1,0,100,467,1,1,30,1,100,437,466,1
X,10001,169,1,0,100,467,1,31,60,1,100,468,497,1
