C_SU_MATCH,grnofr,grnlof,,,,,,,,
Q,2300,116,-40.6,16,0,18,0,340707,5539217.9,22.8
Q,2300,118,-37.4,16,0,18,0,340790.2,5539272.4,21.2
Q,2300,120,-34,16,0,18,0,340873.8,5539324.9,19.5
Q,2500,102,-47.4,16,0,18,0,340223.7,5538672.6,26.2
Q,2500,104,-45.4,16,0,18,0,340309.1,5538725.2,25.2
Q,2500,106,-43.2,16,0,18,0,340392.8,5538779.9,24.1
Q,2500,108,-40.8,16,0,18,0,340477.3,5538834.4,22.9
Q,2500,110,-38.4,16,0,7,0,340562,5538887.1,21.7
Q,2500,112,-35.6,6,0,18,0,340646.6,5538940.4,20.3
Q,2500,114,-32.6,16,0,18,0,340729.3,5538995.9,18.8
Q,2500,116,-29.6,16,0,18,0,340812.3,5539048.2,17.3
Q,2500,118,-26.2,16,0,18,0,340896.9,5539103.5,15.6
Q,2500,120,-22.6,16,0,18,0,340984,5539156.9,13.8
Q,2700,102,-35.2,16,0,18,0,340331.4,5538503.3,20.1
Q,2700,104,-13,16,0,18,0,340417,5538557.9,9
Q,2700,106,-31.4,16,0,18,0,340500.5,5538611.3,18.2
Q,2700,108,-29,16,0,18,0,340586,5538665.3,17
Q,2700,110,-26.6,16,0,18,0,340667.4,5538719.2,15.8
Q,2700,112,-23.8,16,0,18,0,340752.4,5538771.9,14.4
Q,2700,114,-20.8,16,0,18,0,340837.3,5538826.8,12.9
Q,2700,116,-17.8,16,0,18,0,340922.2,5538880.1,11.4
Q,2700,118,-14.2,16,0,18,0,341004,5538934.9,9.6
Q,2700,120,-10.6,16,0,18,0,341091.1,5538989.9,7.8
