C_SU_MATCH,grnors,gaps,,,,,,,
Q,300,115,-128.2,0,0,0,339435,5540247.7,64.1
Q,300,116,-126.2,0,0,0,339460.2,5540204.6,63.1
Q,300,117,-124.2,0,0,0,339488.8,5540162,62.1
Q,300,118,-122.2,0,0,0,339514.4,5540120,61.1
Q,300,119,-120.2,0,0,0,339543.3,5540076.2,60.1
Q,300,120,-118,0,0,0,339567.5,5540032.4,59
Q,300,121,-116,0,0,0,339595.1,5539989.9,58
Q,300,122,-114,0,0,0,339623.7,5539947.1,57
Q,300,123,-111.8,0,0,0,339649.3,5539904,55.9
Q,300,124,-109.8,0,0,0,339677.9,5539860.4,54.9
Q,300,125,-107.6,0,0,0,339702.2,5539817.3,53.8
Q,300,126,-105.6,0,0,0,339730.7,5539774.6,52.8
Q,300,127,-103.4,0,0,0,339757.1,5539730.9,51.7
Q,300,128,-101.2,0,0,0,339785.5,5539688.2,50.6
Q,300,129,-99,0,0,0,339811.4,5539645.2,49.5
Q,300,130,-96.8,0,0,0,339837,5539602.1,48.4
Q,300,131,-94.6,0,0,0,339865.6,5539557,47.3
Q,300,132,-92.2,0,0,0,339892.8,5539515.4,46.1
Q,300,133,-90,0,0,0,339917.8,5539471.6,45
Q,300,134,-87.6,0,0,0,339947.3,5539428.2,43.8
Q,300,135,-85.4,0,0,0,339974,5539384.2,42.7
Q,300,136,-83,0,0,0,340000.2,5539341.6,41.5
Q,300,137,-80.6,0,0,0,340025.8,5539299.3,40.3
Q,300,138,-78.2,0,0,0,340053.8,5539254.7,39.1
Q,300,139,-75.8,0,0,0,340080.1,5539210.9,37.9
Q,300,140,-44,0,0,0,340106.8,5539154.5,22
Q,300,141,-70.8,0,0,0,340135.6,5539124.2,35.4
Q,300,142,-68.2,0,0,0,340163.4,5539082.5,34.1
Q,300,143,-65.6,0,0,0,340189.6,5539037.7,32.8
Q,300,144,-63,0,0,0,340216.2,5538994.3,31.5
Q,300,145,-60.4,0,0,0,340241.3,5538952.1,30.2
Q,300,146,-57.6,0,0,0,340269.7,5538907.7,28.8
Q,300,147,-55,0,0,0,340297.1,5538864.4,27.5
Q,300,148,-52.2,0,0,0,340323.7,5538821.7,26.1
Q,300,149,-49.4,0,0,0,340351.5,5538777.9,24.7
Q,300,150,-46.4,0,0,0,340377.5,5538734.8,23.2
Q,300,151,-43.4,0,0,0,340405.3,5538689.6,21.7
Q,300,152,-40.4,0,0,0,340431.7,5538646.8,20.2
Q,300,153,-37.4,0,0,0,340457.8,5538602.6,18.7
Q,300,154,-34.2,0,0,0,340486.2,5538558.3,17.1
Q,300,155,-31,0,0,0,340511.4,5538515.7,15.5
Q,400,101,-152.2,0,0,0,339141.7,5540904.8,76.1
Q,400,102,-150.4,0,0,0,339168.2,5540861.1,75.2
Q,400,103,-148.6,0,0,0,339193.3,5540818.2,74.3
Q,400,104,-146.8,0,0,0,339222.7,5540775.8,73.4
Q,400,105,-145,0,0,0,339248.5,5540731,72.5
Q,400,106,-143.2,0,0,0,339276.6,5540688.3,71.6
Q,400,107,-141.2,0,0,0,339301.4,5540645.5,70.6
Q,400,108,-139.4,0,0,0,339328.4,5540602,69.7
Q,400,109,-137.4,0,0,0,339357.5,5540559.5,68.7
Q,400,110,-135.6,0,0,0,339383.8,5540517.6,67.8
Q,400,111,-133.6,0,0,0,339410.3,5540472.7,66.8
Q,400,112,-131.8,0,0,0,339437,5540430.8,65.9
Q,400,113,-129.8,0,0,0,339463.9,5540387.5,64.9
Q,400,114,-127.8,0,0,0,339491.4,5540345.1,63.9
Q,400,115,-125.8,0,0,0,339517,5540301.5,62.9
Q,400,116,-124,0,0,0,339543.7,5540257.6,62
Q,400,117,-122,0,0,0,339573.3,5540216,61
Q,400,118,-120,0,0,0,339600.5,5540171.3,60
Q,400,119,-117.8,0,0,0,339625,5540128.1,58.9
Q,400,120,-115.8,0,0,0,339652.6,5540085.2,57.9
Q,400,121,-113.8,0,0,0,339681,5540042.9,56.9
Q,400,122,-111.8,0,0,0,339707.4,5539998.6,55.9
Q,400,123,-88,0,0,0,339732.8,5539945,44
Q,400,124,-107.6,0,0,0,339761.5,5539912.3,53.8
Q,400,125,-105.4,0,0,0,339788.2,5539869.6,52.7
Q,400,126,-103.2,0,0,0,339814.8,5539826.7,51.6
Q,400,127,-101,0,0,0,339841.8,5539784,50.5
Q,400,128,-99,0,0,0,339868.4,5539740.6,49.5
Q,400,129,-96.8,0,0,0,339894.2,5539696.3,48.4
Q,400,130,-94.4,0,0,0,339921.7,5539653.4,47.2
Q,400,131,-92.2,0,0,0,339949.7,5539610.2,46.1
Q,400,132,-90,0,0,0,339976.3,5539566.5,45
Q,400,133,-87.6,0,0,0,340002.2,5539524.9,43.8
Q,400,134,-85.4,0,0,0,340028.9,5539480.8,42.7
Q,400,135,-83,0,0,0,340057.6,5539438.2,41.5
Q,400,136,-80.6,0,0,0,340085.5,5539393.5,40.3
Q,400,137,-78.2,0,0,0,340112.8,5539351.7,39.1
Q,400,138,-75.8,0,0,0,340139.3,5539308.4,37.9
Q,400,139,-73.4,0,0,0,340166.4,5539264.9,36.7
Q,400,140,-71,0,0,0,340191.4,5539222,35.5
Q,400,141,-68.4,0,0,0,340219.6,5539177.5,34.2
Q,400,142,-65.8,0,0,0,340246.5,5539134.7,32.9
Q,400,143,-63.4,0,0,0,340274.2,5539090.6,31.7
Q,400,144,-60.8,0,0,0,340300.7,5539048.4,30.4
Q,400,145,-58,0,0,0,340326.7,5539003.8,29
Q,400,146,-55.4,0,0,0,340353.8,5538960.4,27.7
Q,400,147,-52.6,0,0,0,340382,5538918.2,26.3
Q,400,148,-49.8,0,0,0,340407,5538873.8,24.9
Q,400,149,-47,0,0,0,340434.5,5538829.5,23.5
Q,400,150,-44.2,0,0,0,340462.2,5538787.1,22.1
Q,400,151,-41.2,0,0,0,340490.2,5538743.9,20.6
Q,400,152,-38.2,0,0,0,340517.1,5538699.4,19.1
Q,400,153,-35.2,0,0,0,340544.2,5538656.1,17.6
Q,400,154,-32.2,0,0,0,340570.3,5538612.5,16.1
Q,400,155,-29,0,0,0,340597.1,5538567.9,14.5
Q,500,101,-150,0,0,0,339224.3,5540956.4,75
Q,500,102,-148.2,0,0,0,339252.4,5540913.5,74.1
Q,500,103,-146.4,0,0,0,339280.2,5540871,73.2
Q,500,104,-144.6,0,0,0,339306.3,5540828.5,72.3
Q,500,105,-142.8,0,0,0,339332.6,5540784.5,71.4
Q,500,106,-141,0,0,0,339359.8,5540742.4,70.5
Q,500,107,-139,0,0,0,339387.5,5540697.8,69.5
Q,500,108,-137.2,0,0,0,339412.2,5540656.3,68.6
Q,500,109,-135.2,0,0,0,339439.5,5540612.3,67.6
Q,500,110,-133.4,0,0,0,339468.1,5540569.8,66.7
Q,500,111,-131.4,0,0,0,339494.6,5540526.1,65.7
Q,500,112,-129.4,0,0,0,339521.8,5540482.3,64.7
Q,500,113,-127.6,0,0,0,339549.7,5540439.8,63.8
Q,500,114,-125.6,0,0,0,339575.8,5540397.8,62.8
Q,500,115,-123.6,0,0,0,339602.5,5540353.3,61.8
Q,500,116,-121.6,0,0,0,339629.9,5540310.3,60.8
Q,500,117,-119.6,0,0,0,339655.8,5540268,59.8
Q,500,118,-117.6,0,0,0,339683.9,5540224.4,58.8
Q,500,119,-115.6,0,0,0,339711.3,5540182.1,57.8
Q,500,120,-113.6,0,0,0,339738,5540139.2,56.8
Q,500,121,-111.4,0,0,0,339763.8,5540095.3,55.7
Q,500,122,-132,0,0,0,339791,5540062.9,66
Q,500,123,-107.2,0,0,0,339818,5540008.5,53.6
Q,500,124,-105.2,0,0,0,339845.4,5539965.3,52.6
Q,500,125,-103,0,0,0,339871.7,5539923.7,51.5
Q,500,126,-100.8,0,0,0,339898.6,5539880.3,50.4
Q,500,127,-98.8,0,0,0,339925,5539835.9,49.4
Q,500,128,-96.6,0,0,0,339952.7,5539794.2,48.3
Q,500,129,-94.4,0,0,0,339980.9,5539749.4,47.2
Q,500,130,-92,0,0,0,340005.5,5539706.1,46
Q,500,131,-89.8,0,0,0,340033.7,5539663.6,44.9
Q,500,132,-87.6,0,0,0,340062,5539620,43.8
Q,500,133,-85.2,0,0,0,340088.9,5539576.7,42.6
Q,500,134,-83,0,0,0,340114.9,5539533.5,41.5
Q,500,135,-80.6,0,0,0,340142.5,5539489.8,40.3
Q,500,136,-78.2,0,0,0,340168.6,5539447.2,39.1
Q,500,137,-75.8,0,0,0,340196.7,5539404.7,37.9
Q,500,138,-73.4,0,0,0,340221.3,5539361.4,36.7
Q,500,139,-71,0,0,0,340250,5539318.1,35.5
Q,500,140,-68.4,0,0,0,340276.6,5539273.1,34.2
Q,500,141,-66,0,0,0,340301.9,5539229.6,33
Q,500,142,-63.4,0,0,0,340330.7,5539186.6,31.7
Q,500,143,-60.8,0,0,0,340357.2,5539144.3,30.4
Q,500,144,-58.2,0,0,0,340383.6,5539100,29.1
Q,500,145,-55.6,0,0,0,340410.2,5539057.6,27.8
Q,500,146,-53,0,0,0,340438.3,5539013.2,26.5
Q,500,147,-50.2,0,0,0,340464.7,5538969,25.1
Q,500,148,-47.4,0,0,0,340491.1,5538927.3,23.7
Q,500,149,-44.6,0,0,0,340518.6,5538882.1,22.3
Q,500,150,-41.8,0,0,0,340545,5538838.7,20.9
Q,500,151,-38.8,0,0,0,340573,5538795,19.4
Q,500,152,-35.8,0,0,0,340600.9,5538752.7,17.9
Q,500,153,-32.8,0,0,0,340628.2,5538707.9,16.4
Q,500,154,-29.8,0,0,0,340655.2,5538664.9,14.9
Q,500,155,-26.6,0,0,0,340682.3,5538621.3,13.3
Q,600,101,-147.8,0,0,0,339308.3,5541008.7,73.9
Q,600,102,-146,0,0,0,339337.2,5540967.4,73
Q,600,103,-144.2,0,0,0,339362.6,5540923.2,72.1
Q,600,104,-142.4,0,0,0,339391.1,5540879.5,71.2
Q,600,105,-140.6,0,0,0,339416.9,5540836.7,70.3
Q,600,106,-138.6,0,0,0,339443.3,5540793.9,69.3
Q,600,107,-136.8,0,0,0,339471.6,5540750.8,68.4
Q,600,108,-134.8,0,0,0,339496.7,5540709.1,67.4
Q,600,109,-133,0,0,0,339524.7,5540666.2,66.5
Q,600,110,-131,0,0,0,339552,5540622,65.5
Q,600,111,-129.2,0,0,0,339580.1,5540579.8,64.6
Q,600,112,-127.2,0,0,0,339604.8,5540536.7,63.6
Q,600,113,-125.2,0,0,0,339633,5540492.2,62.6
Q,600,114,-123.2,0,0,0,339659.6,5540450.4,61.6
Q,600,115,-121.2,0,0,0,339687.7,5540406.6,60.6
Q,600,116,-119.2,0,0,0,339713.6,5540363.9,59.6
Q,600,117,-117.2,0,0,0,339741.7,5540319.8,58.6
Q,600,118,-115.2,0,0,0,339768.5,5540276.6,57.6
Q,600,119,-113.2,0,0,0,339793.8,5540234.6,56.6
Q,600,120,-111.2,0,0,0,339822.1,5540191.4,55.6
Q,600,121,-109,0,0,0,339847.8,5540148.9,54.5
Q,600,122,-107,0,0,0,339875.5,5540104,53.5
Q,600,123,-104.8,0,0,0,339903.6,5540061.4,52.4
Q,600,124,-102.8,0,0,0,339929.8,5540018.1,51.4
Q,600,125,-100.6,0,0,0,339957.6,5539975.3,50.3
Q,600,126,-98.4,0,0,0,339983.3,5539932.5,49.2
Q,600,127,-96.2,0,0,0,340011.1,5539889.5,48.1
Q,600,128,-94,0,0,0,340037.1,5539846.3,47
Q,600,129,-91.8,0,0,0,340064,5539801.9,45.9
Q,600,130,-89.6,0,0,0,340089.6,5539759.2,44.8
Q,600,131,-87.4,0,0,0,340119.2,5539717,43.7
Q,600,132,-85,0,0,0,340144.1,5539673.5,42.5
Q,600,133,-82.8,0,0,0,340170.6,5539630.2,41.4
Q,600,134,-80.4,0,0,0,340199.5,5539586,40.2
Q,600,135,-78,0,0,0,340225.3,5539542.1,39
Q,600,136,-75.6,0,0,0,340253.2,5539499.6,37.8
Q,600,137,-73.2,0,0,0,340279.8,5539456.5,36.6
Q,600,138,-70.8,0,0,0,340307,5539413.2,35.4
Q,600,139,-68.4,0,0,0,340334.7,5539369.2,34.2
Q,600,140,-65.8,0,0,0,340360.8,5539325.6,32.9
Q,600,141,-63.4,0,0,0,340386.2,5539283.4,31.7
Q,600,142,-60.8,0,0,0,340415.5,5539239.2,30.4
Q,600,143,-58.2,0,0,0,340442.5,5539197.2,29.1
Q,600,144,-88,0,0,0,340467.7,5539169.3,44
Q,600,145,-53,0,0,0,340495.5,5539109.8,26.5
Q,600,146,-50.2,0,0,0,340522.7,5539066.7,25.1
Q,600,147,-47.6,0,0,0,340550.3,5539022.7,23.8
Q,600,148,-44.8,0,0,0,340577.9,5538979.4,22.4
Q,600,149,-42,0,0,0,340603.1,5538936,21
Q,600,150,-39.2,0,0,0,340629.2,5538891.7,19.6
Q,600,151,-36.2,0,0,0,340658.3,5538849.3,18.1
Q,600,152,-33.2,0,0,0,340683.6,5538804.5,16.6
Q,600,153,-30.2,0,0,0,340710.7,5538760.5,15.1
Q,600,154,-27.2,0,0,0,340736.9,5538716.9,13.6
Q,600,155,-24,0,0,0,340764.1,5538673.8,12
Q,700,101,-145.6,0,0,0,339393,5541061.6,72.8
Q,700,102,-143.8,0,0,0,339418.9,5541019.1,71.9
Q,700,103,-142,0,0,0,339447,5540977.3,71
Q,700,104,-140,0,0,0,339473.7,5540932.8,70
Q,700,105,-138.2,0,0,0,339500.4,5540890.2,69.1
Q,700,106,-136.4,0,0,0,339527.1,5540848.2,68.2
Q,700,107,-134.4,0,0,0,339554.2,5540804,67.2
Q,700,108,-132.6,0,0,0,339581.1,5540760.4,66.3
Q,700,109,-130.6,0,0,0,339609.6,5540717.5,65.3
Q,700,110,-128.6,0,0,0,339635.9,5540675.8,64.3
Q,700,111,-126.8,0,0,0,339664,5540632.9,63.4
Q,700,112,-124.8,0,0,0,339690,5540589.1,62.4
Q,700,113,-122.8,0,0,0,339715.9,5540544.8,61.4
Q,700,114,-120.8,0,0,0,339745.1,5540501.8,60.4
Q,700,115,-118.8,0,0,0,339769.9,5540459.3,59.4
Q,700,116,-116.8,0,0,0,339798.6,5540416.5,58.4
Q,700,117,-114.8,0,0,0,339823.8,5540373.6,57.4
Q,700,118,-112.8,0,0,0,339850.4,5540330.8,56.4
Q,700,119,-110.8,0,0,0,339878.5,5540286.9,55.4
Q,700,120,-108.6,0,0,0,339904.7,5540244.8,54.3
Q,700,121,-106.6,0,0,0,339932.8,5540201.2,53.3
Q,700,122,-104.4,0,0,0,339958.4,5540158.3,52.2
Q,700,123,-102.4,0,0,0,339987.9,5540114.7,51.2
Q,700,124,-100.2,0,0,0,340013,5540071.3,50.1
Q,700,125,-98,0,0,0,340040.2,5540028.4,49
Q,700,126,-95.8,0,0,0,340068.5,5539983.9,47.9
Q,700,127,-93.6,0,0,0,340095.1,5539942.4,46.8
Q,700,128,-91.4,0,0,0,340122.3,5539898.3,45.7
Q,700,129,-89.2,0,0,0,340147.4,5539854.3,44.6
Q,700,130,-87,0,0,0,340175.4,5539812.3,43.5
Q,700,131,-84.8,0,0,0,340201.3,5539768.7,42.4
Q,700,132,-82.4,0,0,0,340229.3,5539725,41.2
Q,700,133,-80,0,0,0,340255.1,5539682.6,40
Q,700,134,-77.8,0,0,0,340282.8,5539638.2,38.9
Q,700,135,-75.4,0,0,0,340311.2,5539596.7,37.7
Q,700,136,-110,0,0,0,340337.4,5539571.3,55
Q,700,137,-70.6,0,0,0,340363.2,5539509.3,35.3
Q,700,138,-68.2,0,0,0,340390.7,5539465.7,34.1
Q,700,139,-65.6,0,0,0,340418.5,5539421.9,32.8
Q,700,140,-63.2,0,0,0,340443.9,5539378.2,31.6
Q,700,141,-60.6,0,0,0,340471.3,5539336,30.3
Q,700,142,-58,0,0,0,340499.9,5539292.6,29
Q,700,143,-55.4,0,0,0,340526,5539248.3,27.7
Q,700,144,-52.8,0,0,0,340553.8,5539204.6,26.4
Q,700,145,-50.2,0,0,0,340579.4,5539162.2,25.1
Q,700,146,-47.4,0,0,0,340607.3,5539118.4,23.7
Q,700,147,-44.8,0,0,0,340633.5,5539075.2,22.4
Q,700,148,-42,0,0,0,340661.2,5539032.6,21
Q,700,149,-39.2,0,0,0,340686.2,5538987.5,19.6
Q,700,150,-36.2,0,0,0,340713.2,5538944.3,18.1
Q,700,151,-33.4,0,0,0,340742.5,5538901.5,16.7
Q,700,152,-30.4,0,0,0,340769.1,5538857.1,15.2
Q,700,153,-27.4,0,0,0,340796.7,5538813.4,13.7
Q,700,154,-24.4,0,0,0,340822.8,5538769.3,12.2
Q,700,155,-21.2,0,0,0,340850.2,5538726.3,10.6
Q,800,101,-143.2,0,0,0,339477.9,5541115.4,71.6
Q,800,102,-141.4,0,0,0,339505.2,5541072.6,70.7
Q,800,103,-139.6,0,0,0,339532.8,5541028.9,69.8
Q,800,104,-137.6,0,0,0,339559.6,5540986.6,68.8
Q,800,105,-135.8,0,0,0,339585.9,5540942.1,67.9
Q,800,106,-134,0,0,0,339612.6,5540900.8,67
Q,800,107,-88,0,0,0,339639.5,5540834.5,44
Q,800,108,-130,0,0,0,339666.6,5540813,65
Q,800,109,-128.2,0,0,0,339694,5540771.1,64.1
Q,800,110,-126.2,0,0,0,339720.2,5540727.2,63.1
Q,800,111,-124.2,0,0,0,339745.6,5540685,62.1
Q,800,112,-122.4,0,0,0,339774.9,5540641.5,61.2
Q,800,113,-120.4,0,0,0,339801.5,5540599.3,60.2
Q,800,114,-118.4,0,0,0,339827.7,5540556,59.2
Q,800,115,-116.4,0,0,0,339854.7,5540511.4,58.2
Q,800,116,-114.4,0,0,0,339880.8,5540469.3,57.2
Q,800,117,-112.2,0,0,0,339909.9,5540426.6,56.1
Q,800,118,-110.2,0,0,0,339936.4,5540382.1,55.1
Q,800,119,-108.2,0,0,0,339961.5,5540339.4,54.1
Q,800,120,-106,0,0,0,339990,5540297.2,53
Q,800,121,-104,0,0,0,340016.3,5540253.3,52
Q,800,122,-101.8,0,0,0,340044.8,5540210.6,50.9
Q,800,123,-99.8,0,0,0,340071.4,5540167.9,49.9
Q,800,124,-97.6,0,0,0,340098.4,5540123.2,48.8
Q,800,125,-95.4,0,0,0,340125,5540080,47.7
Q,800,126,-93.2,0,0,0,340152.9,5540038,46.6
Q,800,127,-91,0,0,0,340178.6,5539994.2,45.5
Q,800,128,-88.8,0,0,0,340205.1,5539951.6,44.4
Q,800,129,-86.6,0,0,0,340233.9,5539907.1,43.3
Q,800,130,-84.2,0,0,0,340259.5,5539863.8,42.1
Q,800,131,-82,0,0,0,340286.8,5539822,41
Q,800,132,-79.6,0,0,0,340314.2,5539777.5,39.8
Q,800,133,-77.4,0,0,0,340341.4,5539735.5,38.7
Q,800,134,-75,0,0,0,340368.5,5539691.3,37.5
Q,800,135,-72.6,0,0,0,340395.7,5539649.1,36.3
Q,800,136,-70.2,0,0,0,340421,5539605.2,35.1
Q,800,137,-67.8,0,0,0,340448.6,5539561.9,33.9
Q,800,138,-65.2,0,0,0,340474.1,5539518.6,32.6
Q,800,139,-62.8,0,0,0,340502.9,5539475.4,31.4
Q,800,140,-60.2,0,0,0,340529.2,5539431.4,30.1
Q,800,141,-57.8,0,0,0,340556.7,5539389.1,28.9
Q,800,142,-55.2,0,0,0,340583.9,5539344.1,27.6
Q,800,143,-52.6,0,0,0,340609.1,5539300.7,26.3
Q,800,144,-50,0,0,0,340637.1,5539257.4,25
Q,800,145,-47.2,0,0,0,340665.2,5539213.9,23.6
